id,district,city,state,lat,long,percentage,total,hispanic,caucasian,black,asian,other,sum,year,source
albuqueque,Albuquerque Public Schools,Albuquerque,New Mexico,35.10880932,-106.5713649,FALSE,73346,48831,14483,1849,1608,6575,73346,SY21-22,https://public.tableau.com/views/EnrollmentandDemographicInformation/Overall?:showVizHome=no&:display_count=y&publish=yes&:origin=viz_share_link#2
austin,Austin Independent School District,Austin,Texas,30.21882008,-97.75324607,FALSE,75075,41290,22569,4975,3410,2831,75075,SY20-21,https://www.austinisd.org/planning-asset-management/district-demographics
berkeley,Berkeley Unified School District,Berkeley,California,37.86918585,-122.287617,TRUE,NA,0.21,0.32,0.24,0.08,0.15,1,SY15-16,"https://www.berkeleyschools.net/teaching-and-learning/berkeley-students/#:~:text=Here%20are%20some%20statistics%20that,wide%2083.2%25)%2C%202015%2D16"
boston,Boston Public Schools,Boston,Massachusetts,42.33016651,-71.08382055,TRUE,46169,0.43,0.152,0.29,0.089,0.039,1,SY21-22,https://profiles.doe.mass.edu/profiles/student.aspx?orgcode=00350000&orgtypecode=5
bridgeport,Bridgeport Public Schools,Bridgeport,Connecticut,41.18051534,-73.19294194,FALSE,20206,10485,2362,6481,480,398,20206,2020,https://www.bridgeportedu.net/cms/lib/CT02210097/Centricity/Domain/3568/New%20Racial%20Survey%20By%20School%20%202020-05-01-17-30-08.pdf
chicago,Chicago Public Schools,Chicago,Illinois,41.8827824,-87.62889937,FALSE,330411,153931,35649,119025,14383,7423,330411,2021,https://www.cps.edu/about/district-data/demographics/
coachella-valley,Coachella Valley Unified School District,Coachella Valley,California,33.63792899,-116.1444597,TRUE,17657,0.977,0.009,0.002,0.001,0.011,1,SY20-21,https://dq.cde.ca.gov/dataquest/dqcensus/EnrEthGrd.aspx?cds=3373676&agglevel=district&year=2020-21
denver,Denver Public Schools,Denver,Colorado,39.74582021,-104.9858342,TRUE,NA,0.524,0.256,0.138,0.032,0.05,1,2020,https://www.dpsk12.org/about/facts-figures/#student
el-rancho,El Rancho Unified School District,El Rancho,Californa,33.99484142,-118.0808287,TRUE,8228,0.972,0.011,0.004,0.009,0.004,1,SY20-21,https://dq.cde.ca.gov/dataquest/dqcensus/EnrEthGrd.aspx?cds=1964527&agglevel=district&year=2020-21
minneapolis,Minneapolis Public Schools,Minneapolis,Minnesota,45.00001441,-93.29665309,FALSE,31934,5354,12133,11496,1758,1193,31934,2020,https://studentaccounting.mpls.k12.mn.us/2020-2021_3
oakland,Oakland Unified School District,Oakland,California,37.80162835,-122.2720826,TRUE,50077,0.423,0.116,0.243,0.128,0.09,1,SY18-19,https://www.ousd.org/cms/lib/CA01001176/Centricity/Domain/105/Fast%20Facts%20-%202018-19%20-%20OUSD%20Districtwide.pdf
philadelphia,The School District of Philadelphia,Philadelphia,Pennsylvania,39.96144076,-75.16217438,TRUE,198645,0.22,0.13,0.52,0.07,0.06,1,SY20-21,https://www.philasd.org/fast-facts/
portland,Portland Public Schools,Portland,Oregon,45.53521002,-122.6714629,TRUE,47314,0.166,0.559,0.086,0.062,0.127,1,SY20-21,https://www.pps.net/Page/2112
providence,Providence Public Schools,Providence,Rhode Island,41.81805919,-71.42137094,TRUE,NA,0.68,0.065,0.15,0.04,0.065,1,?,"https://www.providenceschools.org/domain/49#:~:text=Our%20schools%20are%20diverse%20learning,students%20receive%20special%20education%20services."
sacramento-city,Sacramento City Unified School District,Sacramento City,California,38.5109101,-121.4387634,TRUE,42776,0.398,0.18,0.139,0.191,0.092,1,SY16-17,https://www.scusd.edu/enrollment-dashboard
san-diego,San Diego Unified School District,San Diego,California,32.75412542,-117.1481295,FALSE,126400,58720,29105,10634,10703,17238,126400,SY17-18,http://transformschools.ucla.edu/case-study-san-diego-unified-school-district/appendix-a-demographics-and-staffing-of-sdusd/
san-francisco,San Francisco Unified School District,San Francisco,California,37.77938052,-122.422189,FALSE,58705,18747,8480,4351,17490,9637,58705,SY20-21,https://dq.cde.ca.gov/dataquest/dqcensus/EnrEthYears.aspx?cds=3868478&agglevel=district&year=2019-20
seattle,Seattle Public Schools,Seattle,Washington,47.58104226,-122.3309822,FALSE,53666,6560,25356,7630,7364,6756,53666,2018,https://www.seattleschools.org/departments/dots/data-reporting-reporting-and-data-analysis/data-profile-district-summary-2/data-profile-demographics/demographics-data-tables/
st-paul,St. Paul Public Schools,St. Paul,Minnesota,44.93054973,-93.11890683,TRUE,35715,0.14,0.21,0.26,0.31,0.08,1,2020,https://www.spps.org/domain/1237
tucson,Tucson Unified School District,Tucson,Arizona,32.2224344,-110.9558986,FALSE,42215,27360,7957,2700,848,3350,42215,SY21-22,http://tusddatareports.tusd1.org/EnrollmentByFederalEthnicity.html
hawaii,Hawaii Public Schools,Hawaii,Hawaii,21.38599148,-157.7481049,TRUE,NA,0.16,0.118,0.015,0.269,0.437,0.999,?,"https://www.usnews.com/education/k12/hawaii/districts/hawaii-department-of-education-106677#:~:text=The%20student%20body%20at%20the,Hawaiian%20or%20other%20Pacific%20Islander."
